Monto de cuota inicial,
No me gusta la ubicación de la urbanización,
Costo elevado del inmueble,
Estaba lejos de donde residen los Familiares/Amigos,,
No da Facilidad de pago/Financiamiento,,20%
Estaba muy lejos de mi trabajo,13%
Tamaño del inmueble era muy pequeño,13%
Porque a mi familia no les gustó,10%
