> Huancayo,55%,
,
Lima,15%,
,,
>Huancavelica,"10%
:selected:",
,,
>Tarma,"2,5%",
,,
> Casapalca,"2,5%",
,,
Cerro de Pasco,"2,5%",
,,
› Ayacucho,"2,5%",
,,
› Yauyos,"2,5%",
,,
> Junin,"2,5%",
,,
Jauja,"2,5%",
,,
> Iquitos,"2,5%",
