>Huancayo,55%,
,
Junín,10%,
,,
·Lima,8%,
,,
>Huancavelica,8%,
,,
› La Oroya,5%,
,,
>Tarma,"2,5%",
,,
›Ayacucho,"2,5%",
""
Yauyos,"2,5%",
,,
Piura,"2,5%",
,,
›Arequipa,"2,5%",
,,
> Satipo,"2,5%",
