Lejanía en la fecha de entrega,"18%
:unselected:",
Intereses elevados,"18%
:unselected:",
Precios elevados,:unselected: 15%,
Cuotas elevadas,:unselected: 13%,
Ubicación de la urbanización,:unselected: 13%,
Fecha de inicio de obra incierta,:unselected: 13%
Distancia,:unselected: 8%
Difícil acceso,5%,
Falta de comunicación con el cliente,3%,
Forma de Financiamiento,3%,
Demora en obtener título de propiedad,3%,
Ninguno,,35%
