- Empresa de prestigio/seria con experiencia,55%
- Empresa con respaldo financiero,9%
- Cumple con lo que ofrece,9%
- Brinda seguridad,9%
- Es una inmobiliaria de prestigio,60%
- Tiene buen respaldo,10%
- Por sus diseños modernos,10%
- Por la zona tranquila,10%
