Muy bueno (7%),- Entregan saneado,33%
- Buena atención / trato.,33%
- Rapidez en la atención,33%
- Rapidez en los trámites,33%
Bueno (78%),- Rapidez en la atención,26%
- Entregan saneado,23%
- Buena atención / trato,13%
- Poca documentación,13%
